coefficients,di_exact,knn_sqrt,knn_sqrt_2,knn_sqrt_4
"[[['', '', ''], ['tanh', '', ''], ['', '', '']]]","[[0.0, 0.3210218964814299, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.24176303896001314, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.27430882606476126, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.27070822000025907, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
"[[['', '', ''], ['log', '**0.828', ''], ['', '', 'tanh']]]","[[0.0, 1.5421012622589405, 0.0], [0.0, 1.2066951580506944, 0.0], [0.0, 0.0, 0.6730850607178185]]","[[0.0, 0.0, 0.0], [0.0, 0.016731959904762703, 0.0], [0.0, 0.0, 0.4895077628148462]]","[[0.0, 0.0, 0.0], [0.0, 0.01137179190231807, 0.0], [0.0, 0.0, 0.536984944800371]]","[[0.0, 0.10690510654440112, 0.0], [0.0, 0.04237306730410928, 0.0], [0.0, 0.0, 0.5604191242310766]]"
"[[['', '', ''], ['', '', ''], ['', '', '']]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.00997895457495113, 0.012653876796092738, 0.012582990283046458], [0.015131898372650887, 0.008659466947362303, 0.0]]","[[0.014712648280010867, 0.00720731342533154, 0.003095234990235176], [0.01696132702798054, 0.021233927596923, 0.0033648639219788497], [0.042979319125147866, 0.021572895907699, 0.0]]"
"[[['', '', ''], ['-0.350', '', 'cos'], ['', 'sigm', '']]]","[[0.0, 0.04776380297598964, 0.0], [0.0, 0.0, 0.01880604937411556], [0.0, 0.19180326752294172, 0.0]]","[[0.0, 0.004955690241078282, 0.0], [0.0, 0.0, 0.0], [0.0, 0.12917564784240027, 0.0]]","[[0.0, 0.027313026020887195, 0.0], [0.0, 0.0, 0.016988869350735722], [0.0, 0.15298375706556033, 0.0]]","[[0.0, 0.00540930145009939, 0.0], [0.0, 0.0, 0.012824719030820783], [0.0, 0.1493924131531824, 0.0]]"
"[[['', '', ''], ['', '', 'sigm'], ['', '**0.873', '']]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.3931035574285702], [0.0, 0.052838525358767, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.30705050872226763], [0.0, 0.010100370521970745, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.34039610058943864], [0.0, 0.016488719744921616, 0.0]]","[[0.0, 0.012073191231835817, 0.0], [0.04756952771834076, 0.07284601313014653, 0.41343385937582644], [0.008864941264263194, 0.04968943846631341, 0.0]]"
"[[['', 'sigm', 'sin'], ['', '', ''], ['', '', '']]]","[[0.0, 0.0, 0.0], [0.01730681771028497, 0.0, 0.0], [0.3373473826691571, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.25644298190589576, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.29177186048483406, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.28335394680834697, 0.0, 0.0]]"
"[[['', '', ''], ['tanh', 'log', ''], ['', 'sin', '']]]","[[0.0, 0.33904214348644457, 0.0], [0.0, 1.6268530237409995, 0.9840639133990028], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.5627849531755531, 0.6364600770968263], [0.0, 0.0, 0.0]]","[[0.0, 0.020071135153664273, 0.0], [0.0, 0.7262672534124347, 0.7075958789952089], [0.0, 0.0, 0.0]]","[[0.0, 0.05656276282266179, 0.0], [0.0, 0.8737843300282037, 0.7853764001349933], [0.0, 0.0, 0.0]]"
"[[['', '', ''], ['', '0.261', ''], ['', '', '**0.053']]]","[[0.0, 0.0, 0.0], [0.0, 0.0235444083157775, 0.0], [0.0, 0.0, 0.0015365317801345638]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.003074486342581549, 0.007844009903212915, 0.0], [0.01162560360141487, 0.0, 0.0]]","[[0.021631576572812658, 0.0, 0.0014401988233074387], [0.013787706868776955, 0.012520275108042878, 0.0], [0.0, 0.0, 0.0070020144258994286]]"
"[[['', 'sin', 'tanh'], ['log', '', ''], ['', '', '']]]","[[0.0, 1.4706729674963284, 0.0], [0.8003515386880488, 0.0, 0.0], [0.3474454490226155, 0.0, 0.0]]","[[0.0, 0.5121743176973397, 0.0], [0.49871159282297706, 0.0, 0.0], [0.09170230037464244, 0.0, 0.0]]","[[0.0, 0.6735464250771144, 0.0], [0.5560598717585341, 0.0, 0.0], [0.15423603310495357, 0.0, 0.0]]","[[0.0, 0.8136384994926033, 0.0], [0.6230367418157747, 0.0, 0.0], [0.21761665685929635, 0.0, 0.0]]"
"[[['', '', ''], ['log', '', 'sin'], ['', '', '']]]","[[0.0, 1.5595242396707472, 0.0], [0.0, 0.0, 0.0], [0.0, 0.3299685332305453, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.06531547460333392, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.21558779948984336, 0.0], [0.0, 0.0, 0.0], [0.010264332566653248, 0.0, 0.0]]"
