coefficients,di_exact,kde,knn_sqrt,knn_sqrt_2,knn_sqrt_4
"[[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.5061302297140594, 1.326080119393731, 0.0, -0.42503239722928404], [0.0, 0.0, 0.0, -1.15414545252932, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [-0.258355798631806, 0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.027723327032087557], [0.0, 0.5487111279571911, 0.0, 0.0, 0.0], [0.0, 0.8349975113307329, 0.0, 0.0, 0.0], [0.0, 0.0, 0.4461952490116371, 0.0, 0.0], [0.0, 0.09250803615036485, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.2910792939273489, 0.0, 0.0, 0.0], [0.0, 0.5630271807752542, 0.0, 0.0, 0.0], [0.0, 0.0, 0.23650023399141024, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.3403509845850764, 0.0, 0.0, 0.0], [0.0, 0.6233273642301791, 0.0, 0.0, 0.0], [0.0, 0.0, 0.275032313965425, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.395046655204431, 0.0, 0.0, 0.0], [0.0004904622012551426, 0.7032297465699251, 0.0, 0.0, 0.0], [0.0, 0.0, 0.31569336449895635, 0.011466608836085702, 0.0], [0.0, 0.017460776110472833, 0.0, 0.0015641921543073122, 0.0]]"
"[[[0.0, 0.0, 0.0, -0.8890544989000772, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -0.4582773261311495, 0.0, 1.3555361284775462, -0.34137937677100566], [-0.6491411175355033, 0.0, 0.0, 0.0, 0.0], [0.0, 0.22300081376628322, 1.174163406300317, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.39750800303823824, 0.0], [0.0, 0.0, 0.07312519137258369, 0.0, 0.031093631703055128], [0.0, 0.0, 0.0, 0.0, 1.0329626576599336], [0.5304336320669687, 0.0, 0.7778467643527077, 0.0, 0.0], [0.0, 0.0, 0.30841054097970994, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.025982109864283846], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.15465707787532537, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.5598963465353152], [0.25672160421922696, 0.0, 0.36273455920608155, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.19142211729123612, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.6045826092600575], [0.30746839887637173, 0.0, 0.4155979584628052, 0.0, 0.0], [0.0, 0.0, 0.013673657646593406, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.20012454656603162, 0.0], [0.0, 0.008218460881301903, 0.0019396945958130548, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.6623273955355748], [0.3437059602340332, 0.0, 0.46897593947743127, 0.0, 0.0], [0.0, 0.0, 0.065048359360175, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.0], [0.45444814731248573, 0.0, 0.0, 2.173389330674694, 0.0], [0.0, -1.0801216596362258, 0.0, -1.46687095239568, 0.0], [-0.5566267409356752, -0.31447178743334586, 0.0, 0.0, 0.0], [2.1297487313109578, 0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.09569782100469115, 0.0, 0.14657574706267643, 0.8623822856945722], [0.0, 0.0, 1.3628134634026163, 0.37901245064542366, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.2567469351689124, 0.9180169841626832, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2017531781667829, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.022726197655865633, 0.15234659713567847], [0.0, 0.0, 0.7257806775815745, 0.13212164691355172, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.1996057051878773, 0.09429483407826307, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.04262751408562967, 0.23489522365882196], [0.0, 0.0, 0.7646592802294964, 0.15128000269178862, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.28078219889337336, 0.16079531189391164, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.05437839993605564, 0.3112309920741692], [0.0, 0.0, 0.7720012425627512, 0.14957122746583626, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.37854033974020174, 0.22700309648689537, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.4974360767688723], [0.0, 0.46929263988452835, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -0.5047237996251356, 0.0], [0.0, -0.6477008513249985, 0.1530271304100014, -0.3379995344966982, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.1230099266312143, 0.0, 0.197191043118381, 0.0], [0.0, 0.0, 0.0, 0.008624459640978839, 0.0], [0.0, 0.0, 0.16417525885508774, 0.08363250353023133, 0.0], [0.0907940259383652, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.06678326283008701, 0.0, 0.12033984831480388, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.11299367999621866, 0.038554372227616346, 0.0], [0.030743044466419914, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.060961517581606374, 0.0, 0.13698599447533025, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.10571461487679212, 0.03526687135736686, 0.0], [0.04742213900749852, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.09398415856181755, 0.0, 0.16343190325612797, 0.016647263290187706], [0.0, 0.0, 0.0, 0.0, 0.0170385538054098], [0.0, 0.0, 0.12175732528748447, 0.05644382029778563, 0.016106926570400328], [0.062395766373491375, 0.0, 0.0, 0.0, 0.0]]"
"[[[-0.4405504474793876, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -0.43909476181495727, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [-0.863294556650614, 0.0, 2.9524822701738933, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]]","[[0.11914716099892507, 0.0, 0.0, 0.3516707960760788, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.07736473687370987, 0.0, 1.1509982784845127, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.06729300059113467, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.036338251684683985, 0.0, 0.4205472213670989, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.07191036684055659, 0.0, 0.0, 0.00016580261011796933, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.043871246881753825, 0.0, 0.532498692183203, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.042106827661325404, 0.0, 0.0, 0.024052368499345497, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.05809657763850219, 0.0, 0.6308796348706509, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.32043385790236123], [0.0, 0.0, 1.0063031174062889, -1.7147924995169745, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -0.3581608301044806, 0.0, -0.46010461066588526], [1.026730375943634, 0.0, 0.0, 1.4249825776907734, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.5188339633148026], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.3803694095958582, 0.0, 0.06327289425432171, 0.0], [0.0, 0.9856212022827984, 0.0, 0.0, 0.797617596003177], [0.22024844013596373, 0.0, 0.0, 0.33146379578635593, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.07331758017773207], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.035458662040730164, 0.0, 0.0, 0.0], [0.0, 0.4197515146660426, 0.0, 0.0, 0.31104474963025763], [0.08637914713000484, 0.0, 0.0, 0.14417135824271354, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.11791308157368302], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.09178417490331646, 0.0, 0.01573125498119793, 0.0], [0.0, 0.5011956440635765, 0.0, 0.0, 0.37710543299010657], [0.11764270132695598, 0.0, 0.0, 0.17519582468838368, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.19902877531587468], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.15612068726980302, 0.0, 0.007885505561353676, 0.0], [0.0, 0.5749435407032429, 0.0, 0.0, 0.45925392437859436], [0.14536477813991988, 0.0, 0.0, 0.18930133129488688, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.2526448163597045, 0.0], [0.0, 0.0, 0.0, 0.0, 0.6406091462351233], [-0.9006525871462652, 0.0, 0.47187290055600045, 0.0, 0.0], [0.0, 0.0, 0.11202522638754119, -0.42747276501625014, 0.6372531447946597], [0.0, 0.0, -1.1891868992169532, 0.0, 0.0]]]","[[0.0, 0.0, 0.38703180797843995, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2532445613647392, 0.01544814278908966, 0.7868045109787795], [0.09083870107639637, 0.0, 0.0, 0.17802753093818105, 0.0], [0.0, 0.5548180861199408, 0.0, 0.5480371350086187, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.18711702014680215, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.08958511289739932, 0.0, 0.47131405332606835], [0.011521848388656372, 0.0, 0.0, 0.027890727591457273, 0.0], [0.0, 0.3461698562959154, 0.0, 0.32764433186530095, 0.0]]","[[0.0, 0.0, 0.21987901529850104, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.12322079868289096, 0.0, 0.5231118291554196], [0.021033587734592487, 0.0, 0.0, 0.024842388815216394, 0.0], [0.0, 0.3656374651794633, 0.0, 0.34361120557879243, 0.0]]","[[0.0, 0.0, 0.23560646685297634, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.14005980081073036, 0.0, 0.5659386328353926], [0.04028042847184605, 0.0, 0.0, 0.04142795008119503, 0.0], [0.0020060340249863275, 0.3685078529088682, 0.0, 0.3562867928305021, 0.0]]"
"[[[0.0, 0.0, 0.0, -0.656152387217312, 0.0], [1.2345719629647238, 0.0, 0.0, 0.0, -0.7104890007319175], [0.42335609877657526, 0.0, 0.0, 1.7368380112561965, 0.0], [0.0, 0.0, 0.0, -0.40307904399160993, 0.0], [0.0, 0.0, 0.0, -1.1943147376003012, 0.0]]]","[[0.0, 0.6163713772570897, 0.14297430422971452, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.22989702663659842, 0.0, 0.7945636230025214, 0.09538099167215174, 0.5155190040593842], [0.0, 0.4364935509813666, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.21101134276818967, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.11405624326149454, 0.0, 0.3475389298638245, 0.027080939263755297, 0.2624257898901773], [0.0, 0.04250962299000291, 0.0, 0.0, 0.0]]","[[0.0, 0.2570051761150327, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.1187081977982851, 0.0, 0.41298369784646066, 0.031915296645862706, 0.29232771000034063], [0.0, 0.0769147621488366, 0.0, 0.0, 0.0]]","[[0.0, 0.30095409363561787, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.16218341604490866, 0.0, 0.48940608595999147, 0.05221701525158306, 0.34869155783206407], [0.0, 0.10137182352724493, 0.0, 0.0, 0.0]]"
"[[[0.0, 0.5059075012783275, -1.0023683415567055, -0.3526047891242409, 0.0], [0.0, 0.27214050471727147, -1.2606151888517023, -3.3120970002996906, 0.0], [0.0, 0.0, 0.0, 0.0, -0.7063276925627853], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.048851504546982, 2.255201293096064, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [1.0960589742342117, 0.5806931610930464, 0.0, 0.0, 0.0], [1.1779790600824767, 1.3832988380073408, 0.0, 0.0, 1.1649652292619492], [0.0578548835977984, 1.291262568421849, 0.0, 0.0, 0.8831394145192926], [0.0, 0.0, 1.102069073550422, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.008214291403244643, 0.0, 0.0, 0.0, 0.0], [0.09607175199839156, 0.08042446160592215, 0.0, 0.0, 0.07240673226151258], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.08607419628126736, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.2086198496922351, 0.0, 0.0, 0.0, 0.0], [0.5682743764057286, 0.37320581768826183, 0.0, 0.0, 0.4052596465705181], [0.0, 0.0, 0.0, 0.01003990068632968, 0.013623250559310535], [0.0, 0.0, 0.5433368566586313, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.2915739691645478, 0.0, 0.0, 0.0, 0.0], [0.6959141773855687, 0.3967017375768362, 0.0, 0.0, 0.4631246406592754], [0.0, 0.05263479758350115, 0.0, 0.0, 0.059447029765139575], [0.0, 0.0, 0.5939776567077101, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.3410204727342119, 0.0, 0.0, 0.0, 0.0], [0.7763490065017654, 0.45638455942371403, 0.0, 0.0, 0.5292492445834541], [0.0, 0.13053444262120642, 0.0, 0.0, 0.12492518933367666], [0.0, 0.0, 0.6786927666448945, 0.0, 0.0]]"
"[[[-0.8058772322797947, -0.6556206232580697, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -0.8535098783597806, 0.0, 0.0], [0.0, 0.0, 0.728316884493712, 0.0, 0.0], [0.0, 0.0, -1.8906583859319468, 2.147784187067845, 0.0]]]","[[0.6193916275471052, 0.0, 0.0, 0.0, 0.0], [0.17273946200840298, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.7270294177911204, 0.6190132342095471, 1.3760122078974155], [0.0, 0.0, 0.0, 0.0, 1.3911015172346706], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.11015883054460257]]","[[0.37112510717471153, 0.0, 0.0, 0.0, 0.0], [0.004436357416410705, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.1347234821507556, 0.11507902818315041, 0.1602747939449626], [0.0, 0.0, 0.0, 0.0, 0.18472651043542573], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.4324016298459963, 0.0, 0.0, 0.0, 0.0], [0.03097729386176645, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.18064545080802047, 0.1538513824169913, 0.2368702570751461], [0.0, 0.0, 0.0, 0.0, 0.2678966909842144], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.4527105025544114, 0.0, 0.0, 0.0, 0.0], [0.042801222437434186, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.20028616574341035, 0.1592542061864232, 0.3151404995861382], [0.0, 0.0, 0.0, 0.0, 0.3517219251858196], [0.0, 0.0, 0.0, 0.0, 0.0]]"
