,real_t250,real_t500,real_t750,real_t1000,knn_t250,knn_t500,knn_t750,knn_t1000,knn_sqrt_t250,knn_sqrt_t500,knn_sqrt_t750,knn_sqrt_t1000
0,"[[0.0, 0.0, 1.5922097106583313], [0.0, 0.0, 0.0], [0.0, 0.0, 2.0607474647625286]]","[[0.0, 0.0, 0.0], [0.0, 0.7555549121373872, 0.0], [0.0, 0.012118497576816809, 0.0]]","[[0.8922621621639996, 0.0, 0.0], [0.021758454671299547, 0.0020824722280070778, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.8935064174991612], [0.14981181436249713, 0.0, 0.0], [0.8620370720749582, 0.0, 0.0]]","[[0.0, 0.0, 0.13061922343147697], [0.0, 0.0, 0.0], [0.0, 0.0, 0.48700664439918395]]","[[0.0, 0.0, 0.0], [0.0, 0.6903669607164294, 0.0], [0.0, 0.0, 0.0]]","[[0.7518238886418942, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.8079128605348002], [0.06260713805639782, 0.0, 0.0], [0.7234090266628819, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.4244400694741916]]","[[0.0, 0.0, 0.0], [0.0, 0.6564829791186485, 0.0], [0.0, 0.0, 0.0]]","[[0.7541368716288062, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.7532156234865514], [0.017866515207236172, 0.0, 0.0], [0.6863487506564425, 0.0, 0.0]]"
1,"[[0.0, 0.8641748714162153, 0.0], [0.0, 0.11238182523849098, 1.2249210255258103], [0.44448534104761833, 0.0, 0.07616520129982592]]","[[0.63672535557879, 0.4354415613888636, 0.0], [0.0, 0.7899837120557415, 0.12298549781578935], [0.1089781069919824, 0.0, 0.0]]","[[0.0, 0.0, 0.09384105642561079], [0.19544260957122633, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.8079675102632846, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.4744413379729822, 0.0], [0.0, 0.0, 0.9029297138464917], [0.30221509760479126, 0.0, 0.0]]","[[0.49612259724611846, 0.30200852727291755, 0.0], [0.0, 0.5602235986749837, 0.020327756347658925], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.06835920484200038], [0.16112955293626502, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.7577386924805839, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.3650626697787629, 0.0], [0.0, 0.0, 0.7414534134983735], [0.2612257412271373, 0.0, 0.0]]","[[0.41561054745398907, 0.2251515719156298, 0.0], [0.0, 0.5103144894930038, 0.01430599640465296], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.053509465429075934], [0.15139361494760115, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.7253829080929055, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
2,"[[0.0, 0.2981308228738229, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.6568403398425636]]","[[0.0, 0.0, 0.7628467991285601], [0.0, 0.7408747603434873, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 1.1373161849351505, 1.034571328984838], [0.6629356817872705, 0.13431696387072628, 1.7914368802374954], [0.0, 0.0, 0.0]]","[[0.002849586222670752, 0.0, 0.06016170416001658], [0.1572495462332202, 0.0, 0.0], [0.0, 0.0, 0.7738642671493735]]","[[0.0, 0.18855806356297097, 0.0], [0.04797507717578298, 0.0023493151619676466, 0.0], [0.10098643268915562, 0.0, 0.543104549372224]]","[[0.0, 0.0, 0.44334713661017067], [0.0, 0.6203785352470506, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.2435465796542268, 0.03853049853530321], [0.36010461692861967, 0.0, 0.904161758507508], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.017268265349133647], [0.13173479422391457, 0.0, 0.0], [0.0, 0.0, 0.703249567219558]]","[[0.0, 0.17521778476155866, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.5098977765785605]]","[[0.0, 0.0, 0.3286978747839061], [0.0, 0.5750660485821655, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.15730209316628477, 0.0], [0.28872828846747034, 0.0, 0.7650821578944369], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0964246552627403, 0.0, 0.0], [0.0, 0.0, 0.6626425175268639]]"
3,"[[0.3716525679185939, 0.0, 0.0], [1.2631896809523258, 0.8766622728505219, 0.0], [0.0, 0.0, 0.0]]","[[0.8729704200460426, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.985377298158699, 0.0, 0.4744431235677223], [0.1662846111140471, 0.207510309624777, 0.0], [0.0, 0.0, 0.0]]","[[0.7533466956222007, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.9573770769114359, 0.0]]","[[0.007220966641219472, 0.019128896998850595, 0.0], [0.5336113970187338, 0.3727734907728225, 0.0], [0.0, 0.0, 0.0]]","[[0.8007642614916055, 0.0, 0.0], [0.0, 0.0033738766607828074, 0.0008153483845647851], [0.0, 0.0, 0.0]]","[[0.576705768647347, 0.0, 0.2550953911141624], [0.05530191110266936, 0.15514238854798912, 0.0], [0.0, 0.0, 0.0]]","[[0.6758455958875171, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.4919081748294281, 0.0]]","[[0.0, 0.0, 0.0], [0.42701264120828475, 0.300988026984019, 0.0], [0.0, 0.0, 0.0]]","[[0.7649678313169147, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.5517240045304699, 0.0, 0.21508414557935207], [0.04499728756791456, 0.14293903428436452, 0.0], [0.0, 0.0, 0.0]]","[[0.6393634624428024, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.3588039418901768, 0.0]]"
4,"[[0.019293151366643564, 0.0, 0.006440665402066411], [0.0384934574237401, 0.8608486628678491, 0.37636006270802824], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.744921052331062, 0.0], [0.0, 0.0, 0.250297618862645]]","[[0.0, 0.0, 0.1618873688464776], [0.0, 0.7448344278289929, 0.0], [0.0, 0.0, -0.0004088873284537974]]","[[0.0, 0.0, 0.0], [0.10032504706761541, 0.7842064484573594, 0.0], [0.13331919525595004, 0.0, 0.007711693667638653]]","[[0.009666591123346644, 0.00011853650730293579, 0.00796432247419164], [0.0, 0.5754482765929682, 0.24064811739168585], [0.0, 0.02759820024505189, 0.071112230253281]]","[[0.0, 0.0, 0.0], [0.0, 0.6758619379092059, 0.0], [0.0, 0.0, 0.17681163276031317]]","[[0.0, 0.0, 0.09745642131931921], [0.0, 0.6735119742957707, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.06891182185149444, 0.6945918295853609, 0.0], [0.09786516640114602, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.46964073160640174, 0.14368738950439522], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.6255180856760527, 0.0], [0.0, 0.0, 0.15170225908828022]]","[[0.0, 0.0, 0.0945793190732909], [0.0, 0.6623632115328356, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.024710298064329037, 0.647444257624307, 0.0], [0.05634435111226434, 0.0, 0.0]]"
5,"[[0.0, 0.3532696988499237, 0.04069654768440406], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.7539528455425725, 0.6815520497633276], [1.2174046069606002, 0.0, 0.0], [0.09036261496164869, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.6009235128952554], [1.853909969648617, 0.0, 1.3604220755302865]]","[[0.0, 0.0, 0.0], [0.0, 0.8042422816936392, 0.0], [0.0, 0.00028495124344397155, 0.0]]","[[0.0, 0.2570954199826554, 0.013412842520394961], [0.0, 0.0, 0.0], [0.004423490268068562, 0.0, 0.0]]","[[0.0, 0.6134078987503462, 0.6112297177038168], [0.5197651602353603, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.20078853101109093], [0.8041690190421688, 0.0, 0.3374947255356135]]","[[0.0, 0.0, 0.0], [0.0, 0.7515626614524898, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.24130905058586088, 0.011363305886653826], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.5931778441593522, 0.5333901555298559], [0.3782846903859577, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.09443537871286133], [0.6932755131088949, 0.0, 0.28483558147607374]]","[[0.0, 0.0, 0.0], [0.0, 0.692218374284648, 0.0], [0.0, 0.0, 0.0]]"
6,"[[0.7153526323444688, 0.0, 0.0], [0.0, -0.0005902195961318013, 1.3059951909479122], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [10.319732324775336, 0.7421381132400946, 10.14819746054286], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 1.590928594495941, 0.0], [0.0, 0.8962006671578747, 0.0]]","[[0.5560875765834518, 0.0, 0.0], [0.0, 0.0, 0.33813484013330175], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.12377990618444401, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 1.1192051691620641, 0.0], [0.0, 0.4598726780329659, 0.0]]","[[0.5119573165160275, 0.0, 0.0], [0.0, 0.0, 0.14113429783311804], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.12378105499021771, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.9981564553234897, 0.0], [0.0, 0.3139811325699856, 0.0]]"
7,"[[0.0, 0.0, 0.0], [0.9521109439122509, 0.8258971493579009, 0.0], [0.8124984232707297, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.1568518815202175, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.10660895401502714, 0.38173648500385504], [0.7215153100274839, 0.0, 0.631334914242455], [0.0, 0.5330619776401003, 0.0]]","[[0.0, 0.0895132458745612, 0.007157446445908819], [0.03193502342554388, 1.0294779846587019, 0.2662402439109731], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.2868671014076933, 0.40434426286154435, 0.0], [0.3429715946439964, 0.0, 0.0004840160898416766]]","[[0.0, 0.0, 0.0], [0.12667806544291732, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.12756073275285176], [0.5246455218152136, 0.0, 0.4621757196453704], [0.0, 0.2367995889543107, 0.0]]","[[0.0, 0.020173987898989575, 0.0], [0.0, 0.778399048385739, 0.13144105131906336], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.1811633204515461, 0.33086408733910805, 0.0], [0.19145606425420775, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.11044597800034374, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.08452045358740287], [0.5052989652552115, 0.0, 0.4193919385756028], [0.0, 0.23389065903700515, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.7293975461852555, 0.10168192117083844], [0.0, 0.0, 0.0]]"
8,"[[0.4732791681004619, 0.13319880085621355, 0.0], [0.0, 0.0016614460884694534, 0.22966109891102357], [0.10216953376852171, 0.0, 0.096669450240053]]","[[0.0, 0.488519012742926, 0.3371888468741691], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.9114416378603344, 0.0, 0.49447497984520306], [2.1080499629151324, 0.0, 1.2075103230911757]]","[[0.8443275847466923, 0.0, 0.0], [0.0, 0.0, 0.026856617150993464], [0.0, 0.0, 0.0]]","[[0.3531161281798957, 0.03735129408744422, 0.0], [0.0, 0.0, 0.16432511608393063], [0.02729507182828884, 0.0, 0.07441030212926238]]","[[0.0, 0.3793393480589919, 0.2626083135975437], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.17917479738986108, 0.0, 0.1984463391211612], [0.32258270290730007, 0.0, 0.13199513892711606]]","[[0.7976041522356783, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.3556436214472678, 0.06527176606346215, 0.0], [0.0, 0.0, 0.11793414498669409], [0.0, 0.0, 0.0]]","[[0.0, 0.31659502815823903, 0.2075636597433612], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.014792683063830081, 0.0, 0.10150622157861025], [0.164134136561257, 0.0, 0.06103269400188883]]","[[0.7719051161475553, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
9,"[[0.23718669116097418, 0.0006385607475009579, 0.20441229806163183], [0.0, 0.0, 0.0], [0.16277414571518217, 0.09871063252043577, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.7798362809545506, 0.0, 0.0], [0.0, 0.000490296942134584, 0.0], [0.0, 0.003059929225019006, 0.0]]","[[0.8081906931703906, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.022836288199684716]]","[[0.14762245054993448, 0.0, 0.13701819729375495], [0.019655865268262816, 0.014645424843390504, 0.03980763381438183], [0.1409317360517161, 0.003179788643593891, 0.0]]","[[0.023690860699387195, 0.0, 0.015395638800859113], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.7140655084876733, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.7809566307949823, 9.670542871089852e-05, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0031426558154008326]]","[[0.1110090874826797, 0.0, 0.10530326384180358], [0.0, 0.0, 0.0], [0.1390385848301712, 0.04082442709909931, 0.007231918701448537]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.6702829854095104, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.7220762760091721, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
